Date,Price,Open,High,Low,Vol.,Change %
02/09/2000,1225.92,1232.57,1232.57,1225.92,,-0.53%
02/08/2000,1232.44,1213.89,1232.44,1213.89,,1.55%
02/07/2000,1213.65,1214.34,1214.34,1206.03,,-0.05%
02/04/2000,1214.21,1186.2,1214.21,1186.2,,2.37%
02/03/2000,1186.08,1166.06,1186.08,1166.06,,1.80%
02/02/2000,1165.15,1151.43,1165.15,1151.43,,1.20%
02/01/2000,1151.31,1150.08,1151.31,1146.51,,-0.01%
01/31/2000,1151.42,1163.25,1163.25,1147.39,,-1.01%
01/28/2000,1163.13,1161.67,1163.97,1161.67,,0.14%
01/27/2000,1161.55,1166.17,1166.17,1158.79,,-0.40%
01/26/2000,1166.16,1166.51,1170.62,1166.16,,-0.03%
01/25/2000,1166.5,1180.8,1180.8,1162.72,,-1.20%
01/24/2000,1180.68,1208.38,1208.38,1180.68,,-2.28%
01/21/2000,1208.25,1210.96,1210.96,1205.77,,-0.20%
01/20/2000,1210.73,1210.85,1210.85,1209.07,,-0.01%
01/19/2000,1210.84,1217.49,1217.49,1210.84,,-0.47%
01/18/2000,1216.58,1229.65,1237.8,1216.58,,-1.05%
01/17/2000,1229.52,1214.45,1229.52,1199.15,,1.25%
01/14/2000,1214.33,1196.11,1214.33,1196.11,,1.52%
01/13/2000,1196.1,1153.68,1202.31,1153.68,,3.69%
01/12/2000,1153.56,1142.43,1153.56,1107.36,,1.01%
01/11/2000,1142.08,1147.15,1147.15,1138.59,,-0.42%
01/10/2000,1146.92,1127.79,1146.92,1127.79,,1.72%
01/07/2000,1127.57,1120.7,1127.57,1120.29,,0.62%
01/06/2000,1120.59,1124.19,1124.19,1116.49,,-0.32%
01/05/2000,1124.19,1122.05,1124.19,1117.05,,0.20%
01/04/2000,1121.94,1137.47,1137.47,1121.94,,-1.37%
01/03/2000,1137.58,1125.43,1142.94,1125.43,,1.09%
12/30/1999,1125.31,1113.5,1125.31,1113.5,,1.08%
12/29/1999,1113.27,1102.02,1113.27,1092.36,,1.03%
12/28/1999,1101.91,1109,1110.58,1099.24,,-0.63%
12/27/1999,1108.88,1119.8,1119.8,1108.6,,2.77%
12/24/1999,1079.01,1079.01,1079.31,1079.01,,-2.95%
12/23/1999,1111.81,1104.95,1111.81,1102.54,,0.63%
12/22/1999,1104.83,1108.1,1108.1,1104.44,,-0.25%
12/21/1999,1107.65,1101.91,1107.65,1094.95,,0.56%
12/20/1999,1101.46,1098.42,1101.46,1089.77,,0.29%
12/17/1999,1098.31,1079.18,1098.31,1079.18,,1.77%
12/16/1999,1079.18,1076.47,1079.18,1073.86,,0.29%
12/15/1999,1076.03,1084.58,1084.58,1071.5,,-0.77%
12/14/1999,1084.35,1084.02,1085.59,1080,,0.03%
12/13/1999,1084.02,1076.7,1084.8,1076.7,,0.68%
12/10/1999,1076.7,1082.1,1082.1,1072.97,,-0.50%
12/09/1999,1082.1,1080.3,1082.21,1077.21,,0.19%
12/07/1999,1080.08,1088.4,1088.4,1079.56,,-0.74%
12/06/1999,1088.18,1093.13,1093.13,1086.47,,-0.46%
12/03/1999,1093.24,1081.65,1093.24,1081.65,,1.10%
12/02/1999,1081.31,1070.06,1081.31,1070.06,,1.06%
12/01/1999,1069.95,1058.47,1069.95,1058.47,,1.08%
11/30/1999,1058.47,1058.13,1058.47,1049.98,,0.02%
11/29/1999,1058.25,1044.29,1058.25,1044.29,,1.40%
11/26/1999,1043.62,1031.68,1043.62,1024.25,,1.17%
11/25/1999,1031.58,1022.23,1031.58,1022.23,,0.90%
11/24/1999,1022.35,1028.53,1028.53,1017.71,,-0.59%
11/23/1999,1028.42,1032.13,1032.13,1025.1,,-0.35%
11/22/1999,1032.03,1046.09,1046.09,1032.03,,-1.33%
11/19/1999,1045.98,1046.88,1046.88,1039.94,,-0.02%
11/18/1999,1046.2,1040.46,1046.2,1040.46,,0.54%
11/17/1999,1040.58,1049.24,1049.24,1040.58,,-0.77%
11/16/1999,1048.68,1042.15,1048.68,1042.15,,0.64%
11/15/1999,1042.04,1028.87,1042.04,1027.18,,1.27%
11/12/1999,1028.99,1026.28,1028.99,1020.41,,0.27%
11/11/1999,1026.17,1026.51,1026.51,994.93,,-0.02%
11/10/1999,1026.4,1026.84,1026.84,1017.03,,-0.03%
11/09/1999,1026.74,1017.28,1026.74,1017.28,,0.71%
11/08/1999,1019.53,1025.16,1025.16,1016.69,,-0.38%
11/05/1999,1023.47,1003.88,1023.47,1003.88,,1.97%
11/04/1999,1003.67,1009.74,1009.74,1003.67,,-0.59%
11/03/1999,1009.63,1003.88,1011.04,1003.88,,0.56%
11/02/1999,1004.01,989.14,1004.01,989.14,,1.65%
10/29/1999,987.69,962.92,987.69,962.92,,3.06%
10/28/1999,958.32,939.4,958.32,939.4,,2.10%
10/27/1999,938.62,944.12,944.12,938.28,,-0.54%
10/26/1999,943.69,955.38,955.38,943.69,,-1.40%
10/25/1999,957.08,972.37,972.37,954.67,,-1.49%
10/22/1999,971.6,965.06,971.6,965.06,,0.70%
10/21/1999,964.84,949.75,964.84,948.7,,1.55%
10/20/1999,950.1,917.56,950.1,917.56,,3.56%
10/19/1999,917.47,913.06,931.25,913.06,,0.53%
10/18/1999,912.63,930.06,930.06,912.63,,-1.86%
10/15/1999,929.96,952.23,952.23,929.96,,-2.41%
10/14/1999,952.92,951.55,952.92,948.32,,0.15%
10/13/1999,951.45,972.6,972.6,951.45,,-2.18%
10/11/1999,972.61,978.22,978.22,970.08,,-0.56%
10/08/1999,978.12,988.24,988.24,978.12,,-1.00%
10/07/1999,988.03,988.35,989.74,982.92,,-0.10%
10/06/1999,989.04,996.23,996.23,988.27,,-0.71%
10/05/1999,996.13,990.15,996.13,988.72,,0.61%
10/04/1999,990.05,985.2,990.05,985.2,,0.50%
10/01/1999,985.1,986.22,986.22,975.87,,0.08%
09/30/1999,984.31,991.17,991.17,984.31,,-0.68%
09/29/1999,991.06,1000.17,1000.17,991.06,,-0.90%
09/28/1999,1000.07,1010.86,1010.86,996.17,,-1.06%
09/27/1999,1010.76,1015.03,1015.03,1008.14,,-0.41%
09/24/1999,1014.92,1017.28,1017.28,1008.69,,-0.21%
09/23/1999,1017.06,1028.64,1028.64,1017.06,,-1.12%
09/22/1999,1028.54,1027.63,1028.54,1020.41,,0.11%
09/21/1999,1027.41,1040.01,1040.01,1027.41,,-1.16%
09/20/1999,1039.45,1033.71,1039.45,1033.71,,0.86%
09/17/1999,1030.56,1037.65,1037.65,1026.5,,-0.67%
09/16/1999,1037.54,1052.05,1052.05,1036.65,,-1.37%
09/15/1999,1051.94,1065.56,1065.56,1051.65,,-1.08%
09/14/1999,1063.42,1062.74,1063.42,1057.46,,0.07%
09/13/1999,1062.63,1069.72,1069.72,1060.7,,-0.65%
09/10/1999,1069.61,1073.77,1073.86,1069.61,,-0.38%
09/09/1999,1073.66,1046.76,1073.66,1046.76,,2.58%
09/08/1999,1046.65,1046.09,1047.7,1046.09,,0.06%
09/07/1999,1045.98,1046.2,1046.2,1037.37,,-0.01%
09/03/1999,1046.09,1032.02,1046.09,1032.02,,1.45%
09/02/1999,1031.13,1033.82,1033.82,1025.1,,-0.25%
09/01/1999,1033.71,1008.5,1033.71,1008.5,,2.51%
08/31/1999,1008.39,1010.86,1010.86,1005.12,,-0.22%
08/30/1999,1010.64,1007.82,1010.64,1002.89,,0.29%
08/27/1999,1007.72,1014.46,1014.46,997.19,,-0.36%
08/26/1999,1011.32,1008.05,1011.32,1006.46,,0.37%
