Fecha,Valor IPSA
1993-09-27,538.01
1993-09-28,541.05
1993-09-29,541.05
1993-09-30,539.48
1993-10-01,541.61
1993-10-04,542.51
1993-10-05,545.78
1993-10-06,551.07
1993-10-07,553.32
1993-10-08,560.29
1993-10-11,561.76
1993-10-13,566.71
1993-10-14,564.57
1993-10-15,564.12
1993-10-18,565.36
1993-10-19,562.99
1993-10-20,572.67
1993-10-21,572.22
1993-10-22,572.33
1993-10-25,568.17
1993-10-26,562.77
1993-10-27,562.77
1993-10-28,561.76
1993-10-29,563.9
1993-11-02,570.42
1993-11-03,569.63
1993-11-04,562.32
1993-11-05,555.23
1993-11-08,552.75
1993-11-09,557.82
1993-11-10,569.07
1993-11-11,564.8
1993-11-12,565.47
1993-11-15,579.76
1993-11-16,579.76
1993-11-17,590.11
1993-11-18,595.29
1993-11-19,596.08
1993-11-22,594.62
1993-11-23,592.37
1993-11-24,592.59
1993-11-25,597.65
1993-11-26,603.51
1993-11-29,603.51
1993-11-30,601.82
1993-12-01,600.58
1993-12-02,602.61
1993-12-03,604.63
1993-12-06,602.72
1993-12-07,603.51
1993-12-09,609.81
1993-12-10,617.57
1993-12-13,634.56
1993-12-14,639.29
1993-12-15,645.03
1993-12-16,661.8
1993-12-17,656.51
1993-12-20,658.42
1993-12-21,669.34
1993-12-22,684.3
1993-12-23,694.66
1993-12-24,699.83
1993-12-27,710.07
1993-12-28,722.45
1993-12-29,712.77
1993-12-30,710.07
1994-01-03,710.12
1994-01-04,719.22
1994-01-05,733.86
1994-01-06,737.7
1994-01-07,730.03
1994-01-10,736.67
1994-01-11,746.59
1994-01-12,757.61
1994-01-13,741.87
1994-01-14,745.91
1994-01-17,755.01
1994-01-18,763.29
1994-01-19,774.85
1994-01-20,777.11
1994-01-21,786.07
1994-01-24,781.97
1994-01-25,770.81
1994-01-26,774.44
1994-01-27,784.64
1994-01-28,790.25
1994-01-31,808.11
1994-02-01,832.46
1994-02-02,869.62
1994-02-03,862.44
1994-02-04,872.49
1994-02-07,853.54
1994-02-08,859.01
1994-02-09,846.83
1994-02-10,820.01
1994-02-11,808.11
1994-02-14,807.9
1994-02-15,815.84
1994-02-16,822.61
1994-02-17,838.55
1994-02-18,825.21
1994-02-21,831.92
1994-02-22,825.08
1994-02-23,830.21
1994-02-24,803.45
1994-02-25,793.8
1994-02-28,796.95
1994-03-01,778.2
1994-03-02,754.32
1994-03-03,769.03
1994-03-04,765.61
1994-03-07,766.02
1994-03-08,771.09
1994-03-09,781.97
1994-03-10,793.26
1994-03-11,784.91
1994-03-14,788.54
1994-03-15,777.18
1994-03-16,772.46
1994-03-17,774.17
1994-03-18,759.18
1994-03-21,728.94
1994-03-22,750.7
1994-03-23,749.6
1994-03-24,734.89
1994-03-25,742.14
1994-03-28,730.58
1994-03-29,720.45
1994-03-30,706.43
1994-03-31,702.66
1994-04-04,671.25
1994-04-05,697.12
1994-04-06,709.64
1994-04-07,731.4
1994-04-08,730.37
1994-04-11,725.24
1994-04-12,718.06
1994-04-13,721.48
1994-04-14,724.97
1994-04-15,739.2
1994-04-18,744.95
1994-04-19,739.34
1994-04-20,730.31
1994-04-21,732.08
1994-04-22,739.89
1994-04-25,752.27
1994-04-26,765.61
1994-04-27,785.87
1994-04-28,777.25
1994-04-29,770.4
1994-05-02,767.6
1994-05-03,762.74
1994-05-04,764.18
1994-05-05,765.0
1994-05-06,756.79
1994-05-09,746.86
1994-05-10,750.35
1994-05-11,753.23
1994-05-12,759.73
1994-05-13,764.79
1994-05-16,769.58
1994-05-17,774.3
1994-05-18,788.67
1994-05-19,803.45
1994-05-20,810.23
1994-05-23,807.28
1994-05-24,813.24
1994-05-25,825.01
1994-05-26,834.79
1994-05-27,828.22
1994-05-30,832.94
1994-05-31,841.22
1994-06-01,852.58
1994-06-03,861.07
1994-06-06,870.3
1994-06-07,873.59
1994-06-08,862.91
1994-06-09,857.03
1994-06-10,857.44
1994-06-13,859.49
1994-06-14,866.4
1994-06-15,865.24
1994-06-16,864.63
1994-06-17,853.81
1994-06-20,845.67
1994-06-21,829.86
1994-06-22,837.8
1994-06-23,837.32
1994-06-24,829.11
1994-06-27,829.93
1994-06-28,822.82
1994-06-30,808.24
1994-07-01,822.27
1994-07-04,817.82
1994-07-05,815.5
1994-07-06,810.09
1994-07-07,816.52
1994-07-08,811.05
1994-07-11,799.76
1994-07-12,807.01
1994-07-13,819.19
1994-07-14,828.84
1994-07-15,826.1
1994-07-18,827.4
1994-07-19,822.27
1994-07-20,809.82
1994-07-21,809.68
1994-07-22,794.63
1994-07-25,800.78
1994-07-26,799.0
1994-07-27,797.77
1994-07-28,798.87
1994-07-29,812.55
1994-08-01,817.89
1994-08-02,838.97
1994-08-03,851.69
1994-08-04,847.79
1994-08-05,842.8
1994-08-08,846.9
1994-08-09,845.81
1994-08-10,844.17
1994-08-11,841.02
1994-08-12,841.36
1994-08-16,844.3
1994-08-17,854.09
1994-08-18,854.09
1994-08-19,861.75
1994-08-22,872.56
1994-08-23,875.98
1994-08-24,879.27
1994-08-25,890.97
1994-08-26,899.59
1994-08-29,907.25
1994-08-30,901.71
1994-08-31,907.39
1994-09-01,897.61
1994-09-02,889.46
1994-09-05,882.55
1994-09-06,882.96
1994-09-07,886.25
1994-09-08,901.16
1994-09-09,892.75
1994-09-12,887.82
1994-09-13,887.41
1994-09-14,892.95
1994-09-15,899.8
1994-09-16,914.44
1994-09-20,910.95
1994-09-21,914.17
1994-09-22,914.92
1994-09-23,919.37
1994-09-26,927.71
1994-09-27,930.86
1994-09-28,937.09
1994-09-29,940.37
1994-09-30,953.1
1994-10-03,966.51
1994-10-04,972.12
1994-10-05,964.73
1994-10-06,972.19
1994-10-07,990.73
1994-10-10,1004.49
1994-10-11,1015.64
1994-10-13,1039.73
1994-10-14,1043.83
1994-10-17,1049.37
1994-10-18,1066.34
1994-10-19,1072.78
1994-10-20,1047.8
1994-10-21,1048.21
1994-10-24,1047.66
1994-10-25,1028.5
1994-10-26,1027.0
1994-10-27,1042.74
1994-10-28,1052.18
1994-10-31,1055.81
1994-11-02,1037.19
1994-11-03,1027.41
1994-11-04,1023.1
1994-11-07,1018.1
1994-11-08,1032.61
1994-11-09,1040.62
1994-11-10,1043.01
1994-11-11,1029.39
1994-11-14,1046.77
1994-11-15,1040.82
1994-11-16,1039.38
1994-11-17,1042.19
1994-11-18,1036.51
1994-11-21,1030.28
1994-11-22,1014.07
1994-11-23,997.37
1994-11-24,1008.46
1994-11-25,1016.32
1994-11-28,1022.76
1994-11-29,1035.89
1994-11-30,1030.35
1994-12-01,1009.35
1994-12-02,996.21
1994-12-05,999.42
1994-12-06,1013.04
1994-12-07,1026.52
1994-12-09,1019.4
1994-12-12,1018.38
1994-12-13,1021.18
1994-12-14,1017.01
1994-12-15,1009.28
1994-12-16,1007.36
1994-12-19,997.78
1994-12-20,978.07
1994-12-21,963.43
1994-12-22,958.5
1994-12-23,987.38
1994-12-26,996.28
1994-12-27,973.63
1994-12-28,961.31
1994-12-29,961.65
1994-12-30,972.33
1995-01-02,962.6
1995-01-03,969.12
1995-01-04,955.12
1995-01-05,956.38
1995-01-06,947.82
1995-01-09,920.99
1995-01-10,873.54
1995-01-11,906.5
1995-01-12,947.24
1995-01-13,977.67
1995-01-16,976.99
1995-01-17,968.92
1995-01-18,944.42
1995-01-19,923.22
1995-01-20,927.11
1995-01-23,916.03
1995-01-24,924.2
1995-01-25,925.46
1995-01-26,926.24
1995-01-27,921.57
1995-01-30,896.1
1995-01-31,925.95
1995-02-01,935.18
1995-02-02,937.91
1995-02-03,946.95
1995-02-06,931.49
1995-02-07,924.78
1995-02-08,915.83
1995-02-09,904.85
1995-02-10,907.08
1995-02-13,902.81
1995-02-14,883.26
1995-02-15,877.82
1995-02-16,849.33
1995-02-17,868.87
1995-02-20,877.04
1995-02-21,876.36
1995-02-22,874.32
1995-02-23,894.74
1995-02-24,913.01
1995-02-27,899.4
1995-02-28,893.08
1995-03-01,884.43
1995-03-02,858.66
1995-03-03,852.44
1995-03-06,825.41
1995-03-07,798.09
1995-03-08,758.32
1995-03-09,724.09
1995-03-10,792.15
1995-03-13,823.76
1995-03-14,875.87
1995-03-15,857.59
1995-03-16,866.93
1995-03-17,855.16
1995-03-20,848.94
1995-03-21,852.93
1995-03-22,859.83
1995-03-23,865.18
1995-03-24,901.74
1995-03-27,892.79
1995-03-28,885.4
1995-03-29,879.86
1995-03-30,884.23
1995-03-31,875.58
1995-04-03,871.4
1995-04-04,886.86
1995-04-05,908.93
1995-04-06,909.71
1995-04-07,916.32
1995-04-10,913.21
1995-04-11,911.95
1995-04-12,910.2
1995-04-13,905.82
1995-04-17,904.75
1995-04-18,907.18
1995-04-19,891.53
1995-04-20,894.64
1995-04-21,915.45
1995-04-24,932.66
1995-04-25,945.78
1995-04-26,945.39
1995-04-27,945.2
1995-04-28,937.03
1995-05-02,931.78
1995-05-03,956.77
1995-05-04,955.51
1995-05-05,963.87
1995-05-08,970.67
1995-05-09,978.06
1995-05-10,998.48
1995-05-11,999.16
1995-05-12,1015.3
1995-05-15,1003.34
1995-05-16,984.58
1995-05-17,1002.57
1995-05-18,1022.5
